Species	Symbol	Ensembl	Family	Protein	Entrez ID
Canis_familiaris	ARNTL	ENSCAFG00000008095	bHLH	ENSCAFP00000012002;ENSCAFP00000036573;	476860
Canis_familiaris	EBF2	ENSCAFG00000008918	COE	ENSCAFP00000013146;	477375
Canis_familiaris	ZKSCAN1	ENSCAFG00000031298	zf-C2H2	ENSCAFP00000039933;	489848
Canis_familiaris	TGIF2	ENSCAFG00000030473	Homeobox	ENSCAFP00000042898;	485857
Canis_familiaris	FOXH1	ENSCAFG00000001632	Fork_head	ENSCAFP00000002386;	-
Canis_familiaris	CSRNP1	ENSCAFG00000005088	CSRNP_N	ENSCAFP00000007579;	485596
Canis_familiaris	SNAI3	ENSCAFG00000029458	zf-C2H2	ENSCAFP00000042263;	608945
Canis_familiaris	DACH1	ENSCAFG00000004978	DACH	ENSCAFP00000035601;ENSCAFP00000007405;	485489
Canis_familiaris	ZNF134	ENSCAFG00000031283	zf-C2H2	ENSCAFP00000037488;	100684902
Canis_familiaris	FOXL2	ENSCAFG00000007585	Fork_head	ENSCAFP00000011247;	-
Canis_familiaris	ZNF184	ENSCAFG00000011235	zf-C2H2	ENSCAFP00000016613;	106558233
Canis_familiaris	KLF1	ENSCAFG00000017111	zf-C2H2	ENSCAFP00000025201;	484924
Canis_familiaris	STAT5A	ENSCAFG00000015346	STAT	ENSCAFP00000022653;	490968
Canis_familiaris	ZNF449	ENSCAFG00000018905	zf-C2H2	ENSCAFP00000027885;	492160
Canis_familiaris	SPI1	ENSCAFG00000008723	ETS	ENSCAFP00000012822;	-
Canis_familiaris	FOXM1	ENSCAFG00000015642	Fork_head	ENSCAFP00000023001;	486743
Canis_familiaris	HOXB2	ENSCAFG00000016843	Homeobox	ENSCAFP00000024769;	608880
Canis_familiaris	SIX1	ENSCAFG00000029797	Homeobox	ENSCAFP00000040206;	490719
Canis_familiaris	SNAI2	ENSCAFG00000006638	zf-C2H2	ENSCAFP00000009921;	486940
Canis_familiaris	ZSCAN1	ENSCAFG00000032407	zf-C2H2	ENSCAFP00000039344;	100856218
Canis_familiaris	RUNX1	ENSCAFG00000009596	Runt	ENSCAFP00000014111;ENSCAFP00000014108;	487746
Canis_familiaris	PBRM1	ENSCAFG00000009084	HMG	ENSCAFP00000013436;ENSCAFP00000013411;	476593
Canis_familiaris	TWIST2	ENSCAFG00000012469	bHLH	ENSCAFP00000018365;	486185
Canis_familiaris	ATF6	ENSCAFG00000013068	TF_bZIP	ENSCAFP00000019250;	488660
Canis_familiaris	ZBTB18	ENSCAFG00000015810	ZBTB	ENSCAFP00000031506;ENSCAFP00000031506;	-
Canis_familiaris	HOXB5	ENSCAFG00000016852	Homeobox	ENSCAFP00000024781;	100686000
Canis_familiaris	ZNF133	ENSCAFG00000030504	zf-C2H2	ENSCAFP00000041906;	477145
Canis_familiaris	TBXT	ENSCAFG00000000807	T-box	ENSCAFP00000001157;	403653
Canis_familiaris	PRRX1	ENSCAFG00000015002	Homeobox	ENSCAFP00000022090;ENSCAFP00000042503;	609105
Canis_familiaris	HOXA1	ENSCAFG00000002936	Homeobox	ENSCAFP00000004350;	482367
Canis_familiaris	GFI1	ENSCAFG00000020155	zf-C2H2	ENSCAFP00000029887;ENSCAFP00000043191;	490156
Canis_familiaris	ZNF140	ENSCAFG00000030275	zf-C2H2	ENSCAFP00000041220;	100855854
Canis_familiaris	PRDM15	ENSCAFG00000010223	zf-C2H2	ENSCAFP00000015009;ENSCAFP00000040617;	610905
Canis_familiaris	ZNF285	ENSCAFG00000031289	zf-C2H2	ENSCAFP00000037908;	-
Canis_familiaris	MLX	ENSCAFG00000029102	bHLH	ENSCAFP00000022009;	607668
Canis_familiaris	CUX1	ENSCAFG00000013749	CUT	ENSCAFP00000020266;	489821
Canis_familiaris	ZNF613	ENSCAFG00000029631	zf-C2H2	ENSCAFP00000037918;	-
Canis_familiaris	TBX4	ENSCAFG00000017740	T-box	ENSCAFP00000026178;	403514
Canis_familiaris	JUND	ENSCAFG00000023338	TF_bZIP	ENSCAFP00000031140;	609409
Canis_familiaris	DLX4	ENSCAFG00000032013	Homeobox	ENSCAFP00000037285;	-
Canis_familiaris	EGR1	ENSCAFG00000001254	zf-C2H2	ENSCAFP00000001811;	481528
Canis_familiaris	ZNF558	ENSCAFG00000030395	zf-C2H2	ENSCAFP00000037795;	100686571
Canis_familiaris	MAX	ENSCAFG00000016212	bHLH	ENSCAFP00000023887;	609969
Canis_familiaris	-	ENSCAFG00000032625	Homeobox	ENSCAFP00000009905;ENSCAFP00000043048;ENSCAFP00000042826;	-
Canis_familiaris	RXRB	ENSCAFG00000000912	RXR-like	ENSCAFP00000001304;	481735
Canis_familiaris	FOSL2	ENSCAFG00000005212	TF_bZIP	ENSCAFP00000007787;	608412
Canis_familiaris	ARID3A	ENSCAFG00000019652	ARID	ENSCAFP00000029071;	612370
Canis_familiaris	-	ENSCAFG00000028855	zf-C2H2	ENSCAFP00000041649;	-
Canis_familiaris	ZFPM2	ENSCAFG00000000678	zf-C2H2	ENSCAFP00000000961;ENSCAFP00000042565;	481997
Canis_familiaris	EHF	ENSCAFG00000031582	ETS	ENSCAFP00000039218;	483428
Canis_familiaris	ZBTB10	ENSCAFG00000008416	ZBTB	ENSCAFP00000012371;ENSCAFP00000012371;ENSCAFP00000041448;	487014
Canis_familiaris	ZNF791	ENSCAFG00000031471	zf-C2H2	ENSCAFP00000037947;	484933
Canis_familiaris	TBX10	ENSCAFG00000011264	T-box	ENSCAFP00000016574;ENSCAFP00000038511;	611811
Canis_familiaris	ZNF641	ENSCAFG00000009010	zf-C2H2	ENSCAFP00000013236;	100687233
Canis_familiaris	HIC2	ENSCAFG00000032493	ZBTB	ENSCAFP00000041800;ENSCAFP00000041800;	486444
Canis_familiaris	LRRFIP2	ENSCAFG00000004793	LRRFIP	ENSCAFP00000032832;ENSCAFP00000032833;ENSCAFP00000032837;	485582
Canis_familiaris	ETS1	ENSCAFG00000010304	ETS	ENSCAFP00000015170;ENSCAFP00000038082;	489287
Canis_familiaris	PITX2	ENSCAFG00000011628	Homeobox	ENSCAFP00000017091;	487902
Canis_familiaris	TCF12	ENSCAFG00000016200	bHLH	ENSCAFP00000023922;ENSCAFP00000023912;	100684199
Canis_familiaris	ZNF189	ENSCAFG00000002596	zf-C2H2	ENSCAFP00000003778;	-
Canis_familiaris	-	ENSCAFG00000016470	CP2	ENSCAFP00000024238;	491028
Canis_familiaris	FOXK2	ENSCAFG00000012985	Fork_head	ENSCAFP00000040438;ENSCAFP00000019121;	-
Canis_familiaris	ZBTB45	ENSCAFG00000002356	ZBTB	ENSCAFP00000003414;ENSCAFP00000003414;	-
Canis_familiaris	CDIP1	ENSCAFG00000019204	zf-LITAF-like	ENSCAFP00000031616;	490025
Canis_familiaris	ETV3L	ENSCAFG00000016474	ETS	ENSCAFP00000024235;	612067
Canis_familiaris	ZSCAN10	ENSCAFG00000019283	zf-C2H2	ENSCAFP00000028457;	-
Canis_familiaris	FOXI2	ENSCAFG00000013126	Fork_head	ENSCAFP00000019343;	611594
Canis_familiaris	-	ENSCAFG00000032330	zf-C2H2	ENSCAFP00000037066;	-
Canis_familiaris	ARID5A	ENSCAFG00000006546	ARID	ENSCAFP00000009788;	483050
Canis_familiaris	MAZ	ENSCAFG00000016964	zf-C2H2	ENSCAFP00000024960;	607693
Canis_familiaris	ZNF514	ENSCAFG00000030377	zf-C2H2	ENSCAFP00000042418;	-
Canis_familiaris	ZNF292	ENSCAFG00000003045	zf-C2H2	ENSCAFP00000004540;	481908
Canis_familiaris	SMARCE1	ENSCAFG00000016025	HMG	ENSCAFP00000023613;ENSCAFP00000023615;	608250
Canis_familiaris	CARHSP1	ENSCAFG00000019003	CSD	ENSCAFP00000028039;	610212
Canis_familiaris	-	ENSCAFG00000002372	zf-C2H2	ENSCAFP00000039138;ENSCAFP00000036020;ENSCAFP00000003496;	111098586
Canis_familiaris	-	ENSCAFG00000030502	CSD	ENSCAFP00000042333;	-
Canis_familiaris	FOXF1	ENSCAFG00000019918	Fork_head	ENSCAFP00000029503;	489672
Canis_familiaris	RFX4	ENSCAFG00000001813	RFX	ENSCAFP00000002644;ENSCAFP00000002647;	474529
Canis_familiaris	JUNB	ENSCAFG00000028848	TF_bZIP	ENSCAFP00000036269;	100856456
Canis_familiaris	-	ENSCAFG00000023300	zf-C2H2	ENSCAFP00000042855;	-
Canis_familiaris	CREM	ENSCAFG00000003685	TF_bZIP	ENSCAFP00000005495;ENSCAFP00000041225;ENSCAFP00000005492;	403887
Canis_familiaris	-	ENSCAFG00000016713	PC4	ENSCAFP00000042270;	-
Canis_familiaris	SMARCC1	ENSCAFG00000013136	MYB	ENSCAFP00000019375;	476640
Canis_familiaris	DLX2	ENSCAFG00000012946	Homeobox	ENSCAFP00000031627;	100856541
Canis_familiaris	ZSCAN12	ENSCAFG00000024901	zf-C2H2	ENSCAFP00000017543;	-
Canis_familiaris	ZNF829	ENSCAFG00000029513	zf-C2H2	ENSCAFP00000039841;	-
Canis_familiaris	HOXB1	ENSCAFG00000016841	Homeobox	ENSCAFP00000024764;	491052
Canis_familiaris	ZFP69B	ENSCAFG00000032577	zf-C2H2	ENSCAFP00000038005;	482457
Canis_familiaris	OLIG3	ENSCAFG00000000265	bHLH	ENSCAFP00000000380;	484005
Canis_familiaris	-	ENSCAFG00000029116	PC4	ENSCAFP00000038776;	-
Canis_familiaris	-	ENSCAFG00000002412	zf-C2H2	ENSCAFP00000003506;	100685225
Canis_familiaris	MESP1	ENSCAFG00000030023	bHLH	ENSCAFP00000040947;	100856667
Canis_familiaris	HOXA4	ENSCAFG00000002948	Homeobox	ENSCAFP00000004370;	482369
Canis_familiaris	GSX1	ENSCAFG00000006749	Homeobox	ENSCAFP00000010073;	100856362
Canis_familiaris	ZNF76	ENSCAFG00000001304	zf-C2H2	ENSCAFP00000001868;	481754
Canis_familiaris	POU2F2	ENSCAFG00000004911	Pou	ENSCAFP00000007342;	484478
Canis_familiaris	-	ENSCAFG00000023337	Homeobox	ENSCAFP00000031138;	607487
Canis_familiaris	ZNF341	ENSCAFG00000007460	zf-C2H2	ENSCAFP00000011089;	485841
Canis_familiaris	MBD4	ENSCAFG00000004867	MBD	ENSCAFP00000007264;	100684130
Canis_familiaris	GATAD2B	ENSCAFG00000017433	zf-GATA	ENSCAFP00000036697;ENSCAFP00000025700;	490453
Canis_familiaris	SOHLH1	ENSCAFG00000019746	bHLH	ENSCAFP00000029230;ENSCAFP00000036946;ENSCAFP00000040033;	102154350
Canis_familiaris	-	ENSCAFG00000028600	zf-C2H2	ENSCAFP00000039645;	-
Canis_familiaris	NR3C1	ENSCAFG00000006293	ESR-like	ENSCAFP00000009468;	478047
Canis_familiaris	ZNF234	ENSCAFG00000030057	zf-C2H2	ENSCAFP00000039845;	484461
Canis_familiaris	ZZZ3	ENSCAFG00000020376	MYB	ENSCAFP00000030224;	490203
Canis_familiaris	-	ENSCAFG00000017286	CSD	ENSCAFP00000036482;	-
Canis_familiaris	ZNF217	ENSCAFG00000011813	zf-C2H2	ENSCAFP00000040038;ENSCAFP00000037701;ENSCAFP00000017365;	485934
Canis_familiaris	HNF1B	ENSCAFG00000018150	Homeobox	ENSCAFP00000026810;	610402
Canis_familiaris	MSGN1	ENSCAFG00000003750	bHLH	ENSCAFP00000005584;	482981
Canis_familiaris	-	ENSCAFG00000006238	zf-C2H2	ENSCAFP00000042031;	484559
Canis_familiaris	SEBOX	ENSCAFG00000018669	Homeobox	ENSCAFP00000027540;	491164
Canis_familiaris	ZNF620	ENSCAFG00000031284	zf-C2H2	ENSCAFP00000042987;	-
Canis_familiaris	TFAP2B	ENSCAFG00000002156	AP-2	ENSCAFP00000003144;	403463
Canis_familiaris	ZNF316	ENSCAFG00000015816	zf-C2H2	ENSCAFP00000023303;	100855539
Canis_familiaris	ZNF148	ENSCAFG00000012574	zf-C2H2	ENSCAFP00000018539;	488017
Canis_familiaris	CAMTA1	ENSCAFG00000019650	CG-1	ENSCAFP00000029081;ENSCAFP00000029075;	612806
Canis_familiaris	ZSCAN26	ENSCAFG00000030304	zf-C2H2	ENSCAFP00000040661;	100682836
Canis_familiaris	ZNF697	ENSCAFG00000010044	zf-C2H2	ENSCAFP00000014775;	483147
Canis_familiaris	ZNF142	ENSCAFG00000014861	zf-C2H2	ENSCAFP00000041271;ENSCAFP00000021906;ENSCAFP00000041385;	488524
Canis_familiaris	SETDB1	ENSCAFG00000023501	MBD	ENSCAFP00000041684;ENSCAFP00000031500;ENSCAFP00000037492;	483186
Canis_familiaris	-	ENSCAFG00000029254	zf-C2H2	ENSCAFP00000040353;	-
Canis_familiaris	FOXA3	ENSCAFG00000004363	Fork_head	ENSCAFP00000006480;	484434
Canis_familiaris	TOX	ENSCAFG00000007137	HMG	ENSCAFP00000010606;	486964
Canis_familiaris	GLI3	ENSCAFG00000003535	zf-C2H2	ENSCAFP00000005264;ENSCAFP00000039478;	483244
Canis_familiaris	-	ENSCAFG00000032613	zf-C2H2	ENSCAFP00000038530;	100684414
Canis_familiaris	VENTX	ENSCAFG00000013441	Homeobox	ENSCAFP00000019799;	100688982
Canis_familiaris	RUNX3	ENSCAFG00000012903	Runt	ENSCAFP00000019008;ENSCAFP00000040698;	-
Canis_familiaris	-	ENSCAFG00000029058	zf-C2H2	ENSCAFP00000042637;	476394
Canis_familiaris	ZBTB40	ENSCAFG00000014644	ZBTB	ENSCAFP00000021593;ENSCAFP00000021593;	487384
Canis_familiaris	RAX2	ENSCAFG00000019191	Homeobox	ENSCAFP00000028302;	612000
Canis_familiaris	ZNF227	ENSCAFG00000023881	zf-C2H2	ENSCAFP00000007001;	484460
Canis_familiaris	NR1H4	ENSCAFG00000006835	THR-like	ENSCAFP00000039496;ENSCAFP00000010196;	612928
Canis_familiaris	NR5A1	ENSCAFG00000023086	SF-like	ENSCAFP00000029991;	609642
Canis_familiaris	HLX	ENSCAFG00000011340	Homeobox	ENSCAFP00000016690;	100682869
Canis_familiaris	TEAD4	ENSCAFG00000015522	TEA	ENSCAFP00000022877;	-
Canis_familiaris	ZNF354C	ENSCAFG00000029202	zf-C2H2	ENSCAFP00000042381;	-
Canis_familiaris	ARNTL2	ENSCAFG00000011089	bHLH	ENSCAFP00000016353;ENSCAFP00000040214;	486624
Canis_familiaris	TSHZ3	ENSCAFG00000007592	zf-C2H2	ENSCAFP00000011262;	484607
Canis_familiaris	-	ENSCAFG00000025230	zf-C2H2	ENSCAFP00000034920;	491521
Canis_familiaris	ZFP1	ENSCAFG00000020085	zf-C2H2	ENSCAFP00000029764;	100687945
Canis_familiaris	TLX1	ENSCAFG00000009833	Homeobox	ENSCAFP00000014449;	608311
Canis_familiaris	BARX2	ENSCAFG00000010222	Homeobox	ENSCAFP00000015011;ENSCAFP00000038993;	609212
Canis_familiaris	ZNF502	ENSCAFG00000030893	zf-C2H2	ENSCAFP00000037944;	-
Canis_familiaris	LHX3	ENSCAFG00000019695	Homeobox	ENSCAFP00000018765;ENSCAFP00000029148;	607584
Canis_familiaris	CDX4	ENSCAFG00000017189	Homeobox	ENSCAFP00000025318;	491960
Canis_familiaris	ZNF800	ENSCAFG00000001733	zf-C2H2	ENSCAFP00000002520;	475207
Canis_familiaris	GATA4	ENSCAFG00000029087	zf-GATA	ENSCAFP00000038219;	486079
Canis_familiaris	-	ENSCAFG00000028725	zf-C2H2	ENSCAFP00000041061;	-
Canis_familiaris	DNAJC1	ENSCAFG00000004152	MYB	ENSCAFP00000006171;	607587
Canis_familiaris	GMEB2	ENSCAFG00000013008	SAND	ENSCAFP00000019166;	485975
Canis_familiaris	ZNF507	ENSCAFG00000007590	zf-C2H2	ENSCAFP00000011259;	484604
Canis_familiaris	HOXD8	ENSCAFG00000013450	Homeobox	ENSCAFP00000019807;	100687992
Canis_familiaris	ZNF226	ENSCAFG00000029028	zf-C2H2	ENSCAFP00000042317;	100855887
Canis_familiaris	POU4F3	ENSCAFG00000006473	Pou	ENSCAFP00000009693;	487200
Canis_familiaris	RORA	ENSCAFG00000016700	THR-like	ENSCAFP00000024559;ENSCAFP00000024562;	478328
Canis_familiaris	NFIC	ENSCAFG00000019246	CTF/NFI	ENSCAFP00000028389;ENSCAFP00000028388;	485061
Canis_familiaris	TCF4	ENSCAFG00000000140	bHLH	ENSCAFP00000000209;ENSCAFP00000042733;	403949
Canis_familiaris	ZNF296	ENSCAFG00000004575	zf-C2H2	ENSCAFP00000006839;	484453
Canis_familiaris	-	ENSCAFG00000023232	Homeobox	ENSCAFP00000030879;	-
Canis_familiaris	FOXO1	ENSCAFG00000005965	Fork_head	ENSCAFP00000008944;	-
Canis_familiaris	ZNF329	ENSCAFG00000031863	zf-C2H2	ENSCAFP00000037384;	100856172
Canis_familiaris	TERF1	ENSCAFG00000007975	MYB	ENSCAFP00000011804;ENSCAFP00000040715;	100684790
Canis_familiaris	TFAP2A	ENSCAFG00000009658	AP-2	ENSCAFP00000014194;ENSCAFP00000037343;	488213
Canis_familiaris	SIX4	ENSCAFG00000015627	Homeobox	ENSCAFP00000038068;ENSCAFP00000040303;ENSCAFP00000022969;	490720
Canis_familiaris	-	ENSCAFG00000032401	zf-C2H2	ENSCAFP00000040157;	-
Canis_familiaris	ZFP62	ENSCAFG00000030899	zf-C2H2	ENSCAFP00000040796;	491673
Canis_familiaris	ZFHX4	ENSCAFG00000008310	Homeobox	ENSCAFP00000012211;	487006
Canis_familiaris	MAFF	ENSCAFG00000029842	TF_bZIP	ENSCAFP00000036652;	481255
Canis_familiaris	SOX17	ENSCAFG00000025327	HMG	ENSCAFP00000006514;ENSCAFP00000037797;	486955
Canis_familiaris	VSX2	ENSCAFG00000016913	Homeobox	ENSCAFP00000024870;	490780
Canis_familiaris	HOXD1	ENSCAFG00000031345	Homeobox	ENSCAFP00000038405;	-
Canis_familiaris	VAX2	ENSCAFG00000003434	Homeobox	ENSCAFP00000005118;	-
Canis_familiaris	-	ENSCAFG00000011738	zf-C2H2	ENSCAFP00000017287;	485931
Canis_familiaris	-	ENSCAFG00000016523	CSD	ENSCAFP00000024295;ENSCAFP00000024297;	-
Canis_familiaris	-	ENSCAFG00000025091	zf-C2H2	ENSCAFP00000017555;	100682684
Canis_familiaris	HSF1	ENSCAFG00000001563	HSF	ENSCAFP00000043102;ENSCAFP00000002268;	475124
Canis_familiaris	NR0B2	ENSCAFG00000012261	Miscellaneous	ENSCAFP00000018058;	612125
Canis_familiaris	RXRG	ENSCAFG00000013336	RXR-like	ENSCAFP00000019666;	478989
Canis_familiaris	NKX2-3	ENSCAFG00000009469	Homeobox	ENSCAFP00000013925;	-
Canis_familiaris	ZNF853	ENSCAFG00000031558	zf-C2H2	ENSCAFP00000040604;	100855518
Canis_familiaris	-	ENSCAFG00000032034	zf-C2H2	ENSCAFP00000041490;	-
Canis_familiaris	BATF2	ENSCAFG00000014017	TF_bZIP	ENSCAFP00000020658;	483754
Canis_familiaris	HOXC4	ENSCAFG00000006611	Homeobox	ENSCAFP00000009882;	486498
Canis_familiaris	GLOD5	ENSCAFG00000015572	zf-GATA	ENSCAFP00000022898;	480906
Canis_familiaris	ESRRB	ENSCAFG00000017141	ESR-like	ENSCAFP00000025247;	490798
Canis_familiaris	ZNF529	ENSCAFG00000031624	zf-C2H2	ENSCAFP00000041298;	102152692
Canis_familiaris	NFIB	ENSCAFG00000001520	CTF/NFI	ENSCAFP00000002209;ENSCAFP00000042477;	474709
Canis_familiaris	THAP6	ENSCAFG00000008331	THAP	ENSCAFP00000012246;ENSCAFP00000033332;	487811
Canis_familiaris	PIAS3	ENSCAFG00000011319	zf-MIZ	ENSCAFP00000016672;ENSCAFP00000016670;	483160
Canis_familiaris	EMX1	ENSCAFG00000030229	Homeobox	ENSCAFP00000041543;	-
Canis_familiaris	NCOR1	ENSCAFG00000018040	MYB	ENSCAFP00000026698;ENSCAFP00000039416;	479515
Canis_familiaris	KLF3	ENSCAFG00000016180	zf-C2H2	ENSCAFP00000023845;	488836
Canis_familiaris	ZNF623	ENSCAFG00000030078	zf-C2H2	ENSCAFP00000041646;	102153483
Canis_familiaris	BNC1	ENSCAFG00000013219	zf-C2H2	ENSCAFP00000019469;	488756
Canis_familiaris	-	ENSCAFG00000025411	HSF	ENSCAFP00000035321;	-
Canis_familiaris	TSC22D4	ENSCAFG00000014443	TSC22	ENSCAFP00000041922;	479734
Canis_familiaris	GATAD1	ENSCAFG00000030614	zf-GATA	ENSCAFP00000037159;	482301
Canis_familiaris	ZFP3	ENSCAFG00000028732	zf-C2H2	ENSCAFP00000042785;	489452
Canis_familiaris	ZNF23	ENSCAFG00000028675	zf-C2H2	ENSCAFP00000037190;	489720
Canis_familiaris	TSHZ1	ENSCAFG00000000020	zf-C2H2	ENSCAFP00000031768;	-
Canis_familiaris	E2F6	ENSCAFG00000023799	E2F	ENSCAFP00000005307;	609996
Canis_familiaris	ZBTB14	ENSCAFG00000018554	ZBTB	ENSCAFP00000036150;ENSCAFP00000036150;ENSCAFP00000027378;	480196
Canis_familiaris	RARG	ENSCAFG00000007050	THR-like	ENSCAFP00000010479;	486508
Canis_familiaris	-	ENSCAFG00000025203	zf-C2H2	ENSCAFP00000039318;ENSCAFP00000034884;	-
Canis_familiaris	-	ENSCAFG00000031034	zf-C2H2	ENSCAFP00000043002;	-
Canis_familiaris	ZNF526	ENSCAFG00000004891	zf-C2H2	ENSCAFP00000007292;	484477
Canis_familiaris	RORB	ENSCAFG00000001769	THR-like	ENSCAFP00000031876;	484164
Canis_familiaris	NEUROG1	ENSCAFG00000001083	bHLH	ENSCAFP00000001517;	481516
Canis_familiaris	RBAK	ENSCAFG00000029211	zf-C2H2	ENSCAFP00000042457;ENSCAFP00000040690;	489877
Canis_familiaris	-	ENSCAFG00000023024	HSF	ENSCAFP00000030361;	-
Canis_familiaris	ZNF10	ENSCAFG00000031976	zf-C2H2	ENSCAFP00000040208;	100856748
Canis_familiaris	-	ENSCAFG00000032639	HMG	ENSCAFP00000037257;	-
Canis_familiaris	ZNF646	ENSCAFG00000016793	zf-C2H2	ENSCAFP00000024690;	489922
Canis_familiaris	GTF3A	ENSCAFG00000006794	zf-C2H2	ENSCAFP00000010136;	-
Canis_familiaris	ZNF662	ENSCAFG00000005374	zf-C2H2	ENSCAFP00000008017;	485620
Canis_familiaris	FOXR2	ENSCAFG00000028624	Fork_head	ENSCAFP00000041407;	100682939
Canis_familiaris	ZNF772	ENSCAFG00000007175	zf-C2H2	ENSCAFP00000036347;	484262
Canis_familiaris	TAL1	ENSCAFG00000004032	bHLH	ENSCAFP00000005977;	-
Canis_familiaris	ZHX3	ENSCAFG00000009101	Homeobox	ENSCAFP00000013385;	485875
Canis_familiaris	TFAM	ENSCAFG00000012315	HMG	ENSCAFP00000033819;	488989
Canis_familiaris	SOX2	ENSCAFG00000011642	HMG	ENSCAFP00000017112;	488092
Canis_familiaris	PBX1	ENSCAFG00000013289	Homeobox	ENSCAFP00000019606;ENSCAFP00000042330;	488669
Canis_familiaris	CSRNP2	ENSCAFG00000007860	CSRNP_N	ENSCAFP00000011620;	486541
Canis_familiaris	-	ENSCAFG00000029103	zf-C2H2	ENSCAFP00000042762;	-
Canis_familiaris	ZNF263	ENSCAFG00000019292	zf-C2H2	ENSCAFP00000028490;	490040
Canis_familiaris	NR2C2	ENSCAFG00000004535	RXR-like	ENSCAFP00000006818;	484641
Canis_familiaris	NR2F6	ENSCAFG00000015487	RXR-like	ENSCAFP00000022804;	609720
Canis_familiaris	DMBX1	ENSCAFG00000004231	Homeobox	ENSCAFP00000036356;ENSCAFP00000006280;	610425
Canis_familiaris	-	ENSCAFG00000030354	zf-C2H2	ENSCAFP00000038151;	102156679
Canis_familiaris	NR2C1	ENSCAFG00000006244	RXR-like	ENSCAFP00000009377;	611980
Canis_familiaris	GATA2	ENSCAFG00000004143	zf-GATA	ENSCAFP00000006152;ENSCAFP00000039075;	484626
Canis_familiaris	ZNF425	ENSCAFG00000029606	zf-C2H2	ENSCAFP00000043221;	100686024
